,image,object,probability,coordinates
0,D:/50fotos\N30051000398583\N30051000398583_0001.tif,person,0.74,"[232, 436, 530, 1062]"
1,D:/50fotos\N30051000398583\N30051000398583_0001.tif,person,0.66,"[2050, 422, 2326, 1043]"
2,D:/50fotos\N30051000398583\N30051000398583_0001.tif,bowl,0.6,"[2122, 1000, 2369, 1147]"
3,D:/50fotos\N30051000398583\N30051000398583_0001.tif,bench,0.49,"[2454, 1026, 2748, 1631]"
4,D:/50fotos\N30051000398583\N30051000398583_0001.tif,bicycle,0.4,"[2526, 1395, 2745, 1632]"
5,D:/50fotos\N30051000398583\N30051000398583_0001.tif,bench,0.37,"[317, 1174, 2541, 1982]"
6,D:/50fotos\N30051000398583\N30051000398583_0001.tif,bench,0.3,"[1004, 1174, 2537, 1984]"
7,D:/50fotos\N30051000398583\N30051000398583_0001.tif,bench,0.28,"[64, 1046, 468, 1558]"
8,D:/50fotos\N30051000272945\N30051000272945_0001.tif,person,0.83,"[1106, 1588, 1469, 2420]"
9,D:/50fotos\N30051000272945\N30051000272945_0001.tif,person,0.74,"[1565, 929, 1837, 1638]"
10,D:/50fotos\N30051000272945\N30051000272945_0001.tif,person,0.74,"[1143, 1013, 1395, 1306]"
11,D:/50fotos\N30051000272945\N30051000272945_0001.tif,person,0.72,"[1975, 965, 2226, 1640]"
12,D:/50fotos\N30051000272945\N30051000272945_0001.tif,person,0.57,"[211, 1344, 501, 1755]"
13,D:/50fotos\N30051000272945\N30051000272945_0001.tif,tie,0.44,"[322, 1466, 389, 1626]"
14,D:/50fotos\N30051000272945\N30051000272945_0001.tif,person,0.36,"[1978, 966, 2203, 1221]"
15,D:/50fotos\N30051000340700\N30051000340700_0001.tif,person,0.9,"[1445, 418, 2166, 1683]"
16,D:/50fotos\N30051000340700\N30051000340700_0001.tif,car,0.78,"[32, 834, 362, 1162]"
17,D:/50fotos\N30051000340700\N30051000340700_0001.tif,motorcycle,0.26,"[41, 901, 1149, 1972]"
18,D:/50fotos\N30051000340908\N30051000340908_0001.tif,person,0.94,"[357, 1531, 1519, 2944]"
19,D:/50fotos\N30051000340908\N30051000340908_0001.tif,chair,0.43,"[357, 2688, 621, 2961]"
20,D:/50fotos\N30051000342144\N30051000342144_0001.tif,person,0.94,"[510, 1539, 1593, 2912]"
21,D:/50fotos\N30051000342144\N30051000342144_0001.tif,person,0.88,"[2004, 716, 2316, 1669]"
22,D:/50fotos\N30051000342144\N30051000342144_0001.tif,person,0.87,"[1200, 877, 1925, 2913]"
23,D:/50fotos\N30051000342144\N30051000342144_0001.tif,tie,0.83,"[989, 2214, 1224, 2924]"
24,D:/50fotos\N30051000342144\N30051000342144_0001.tif,person,0.75,"[637, 189, 1599, 1891]"
25,D:/50fotos\N30051000342144\N30051000342144_0001.tif,person,0.68,"[389, 732, 984, 2136]"
26,D:/50fotos\N30051000342144\N30051000342144_0001.tif,person,0.51,"[1863, 828, 2032, 1677]"
27,D:/50fotos\N30051000342144\N30051000342144_0001.tif,person,0.28,"[1868, 826, 2034, 1436]"
28,D:/50fotos\N30051000349065\N30051000349065_0001.tif,car,0.92,"[2207, 1047, 2947, 2305]"
29,D:/50fotos\N30051000349065\N30051000349065_0001.tif,person,0.92,"[290, 1348, 777, 2029]"
30,D:/50fotos\N30051000349065\N30051000349065_0001.tif,person,0.91,"[104, 1073, 422, 1939]"
31,D:/50fotos\N30051000349065\N30051000349065_0001.tif,person,0.89,"[938, 1407, 1338, 2063]"
32,D:/50fotos\N30051000358827\N30051000358827_0001.tif,person,0.9,"[959, 2079, 1430, 2881]"
33,D:/50fotos\N30051000358827\N30051000358827_0001.tif,person,0.89,"[1937, 1893, 2336, 2949]"
34,D:/50fotos\N30051000358827\N30051000358827_0001.tif,bicycle,0.7,"[1798, 2769, 2334, 2956]"
35,D:/50fotos\N30051000358827\N30051000358827_0001.tif,bicycle,0.33,"[1800, 2766, 2059, 2955]"
36,D:/50fotos\N30051000363991\N30051000363991_0001.tif,potted plant,0.92,"[926, 1466, 1669, 2079]"
37,D:/50fotos\N30051000363991\N30051000363991_0001.tif,person,0.89,"[878, 1180, 1247, 1450]"
38,D:/50fotos\N30051000363991\N30051000363991_0001.tif,person,0.87,"[676, 1234, 909, 1450]"
39,D:/50fotos\N30051000363991\N30051000363991_0001.tif,person,0.85,"[1288, 998, 1643, 1447]"
40,D:/50fotos\N30051000363991\N30051000363991_0001.tif,person,0.78,"[86, 1141, 414, 1534]"
41,D:/50fotos\N30051000363991\N30051000363991_0001.tif,person,0.78,"[2199, 1192, 2520, 1445]"
42,D:/50fotos\N30051000363991\N30051000363991_0001.tif,person,0.76,"[399, 1220, 692, 1448]"
43,D:/50fotos\N30051000363991\N30051000363991_0001.tif,person,0.7,"[2700, 1177, 2919, 1527]"
44,D:/50fotos\N30051000363991\N30051000363991_0001.tif,person,0.67,"[1580, 1225, 1867, 1452]"
45,D:/50fotos\N30051000363991\N30051000363991_0001.tif,person,0.61,"[1862, 1229, 2161, 1451]"
46,D:/50fotos\N30051000363991\N30051000363991_0001.tif,person,0.49,"[2584, 1207, 2776, 1458]"
47,D:/50fotos\N30051000363991\N30051000363991_0001.tif,potted plant,0.43,"[71, 1427, 464, 2043]"
48,D:/50fotos\N30051000363991\N30051000363991_0001.tif,vase,0.37,"[1143, 1899, 1400, 2078]"
49,D:/50fotos\N30051000363991\N30051000363991_0001.tif,person,0.34,"[2494, 1207, 2761, 1450]"
50,D:/50fotos\N30051000363991\N30051000363991_0001.tif,tie,0.3,"[1053, 1322, 1088, 1385]"
51,D:/50fotos\N30051000363991\N30051000363991_0001.tif,tie,0.3,"[767, 1382, 815, 1449]"
52,D:/50fotos\N30051000364676\N30051000364676_0001.tif,person,0.88,"[1007, 1285, 1266, 2089]"
53,D:/50fotos\N30051000364676\N30051000364676_0001.tif,person,0.87,"[796, 1219, 1109, 2023]"
54,D:/50fotos\N30051000364676\N30051000364676_0001.tif,person,0.87,"[1296, 1316, 1601, 2280]"
55,D:/50fotos\N30051000364676\N30051000364676_0001.tif,person,0.86,"[1633, 1072, 1871, 1666]"
56,D:/50fotos\N30051000364676\N30051000364676_0001.tif,person,0.85,"[60, 1379, 657, 2281]"
57,D:/50fotos\N30051000364676\N30051000364676_0001.tif,person,0.84,"[407, 721, 677, 1554]"
58,D:/50fotos\N30051000380367\N30051000380367_0001.tif,person,0.89,"[1166, 866, 1487, 1917]"
59,D:/50fotos\N30051000380367\N30051000380367_0001.tif,person,0.87,"[2446, 873, 2722, 2054]"
60,D:/50fotos\N30051000380367\N30051000380367_0001.tif,person,0.87,"[1685, 1202, 2176, 2049]"
61,D:/50fotos\N30051000380367\N30051000380367_0001.tif,person,0.87,"[2010, 726, 2320, 1665]"
62,D:/50fotos\N30051000380367\N30051000380367_0001.tif,person,0.79,"[1555, 579, 2016, 1282]"
63,D:/50fotos\N30051000380367\N30051000380367_0001.tif,person,0.75,"[783, 536, 1035, 809]"
64,D:/50fotos\N30051000380367\N30051000380367_0001.tif,person,0.7,"[402, 595, 883, 1523]"
65,D:/50fotos\N30051000380367\N30051000380367_0001.tif,skis,0.69,"[2720, 1757, 2874, 1975]"
66,D:/50fotos\N30051000380367\N30051000380367_0001.tif,truck,0.5,"[417, 506, 2123, 1824]"
67,D:/50fotos\N30051000393949\N30051000393949_0001.tif,person,0.68,"[2029, 1820, 2316, 2329]"
68,D:/50fotos\N30051000393949\N30051000393949_0001.tif,person,0.53,"[828, 2030, 1086, 2353]"
69,D:/50fotos\N30051000393949\N30051000393949_0001.tif,person,0.52,"[2301, 1845, 2555, 2328]"
70,D:/50fotos\N30051000393949\N30051000393949_0001.tif,tie,0.47,"[2194, 1986, 2295, 2254]"
71,D:/50fotos\N30051000393949\N30051000393949_0001.tif,person,0.42,"[335, 2084, 661, 2354]"
72,D:/50fotos\N30051000393949\N30051000393949_0001.tif,tie,0.4,"[1324, 2050, 1358, 2132]"
73,D:/50fotos\N30051000393949\N30051000393949_0001.tif,person,0.37,"[1570, 1879, 1883, 2332]"
74,D:/50fotos\N30051000393949\N30051000393949_0001.tif,tie,0.33,"[2195, 1985, 2257, 2236]"
75,D:/50fotos\N30051000393949\N30051000393949_0001.tif,person,0.33,"[1016, 2124, 1255, 2339]"
76,D:/50fotos\N30051000393949\N30051000393949_0001.tif,person,0.32,"[1810, 2099, 2148, 2333]"
77,D:/50fotos\N30051000393949\N30051000393949_0001.tif,tie,0.26,"[2195, 1986, 2243, 2172]"
78,D:/50fotos\N30051000397361\N30051000397361_0001.tif,person,0.88,"[674, 1107, 1022, 2150]"
79,D:/50fotos\N30051000397361\N30051000397361_0001.tif,person,0.87,"[356, 1194, 602, 1894]"
80,D:/50fotos\N30051000397361\N30051000397361_0001.tif,person,0.86,"[2269, 1186, 2617, 2141]"
81,D:/50fotos\N30051000397361\N30051000397361_0001.tif,person,0.84,"[1999, 1155, 2278, 2154]"
82,D:/50fotos\N30051000397361\N30051000397361_0001.tif,person,0.84,"[1358, 1159, 1658, 2095]"
83,D:/50fotos\N30051000397361\N30051000397361_0001.tif,person,0.83,"[1658, 1155, 1951, 2072]"
84,D:/50fotos\N30051000397361\N30051000397361_0001.tif,person,0.77,"[1125, 1161, 1384, 2083]"
85,D:/50fotos\N30051000397361\N30051000397361_0001.tif,tie,0.7,"[2400, 1331, 2442, 1511]"
86,D:/50fotos\N30051000397361\N30051000397361_0001.tif,person,0.68,"[1006, 1198, 1190, 2013]"
87,D:/50fotos\N30051000397361\N30051000397361_0001.tif,person,0.65,"[2682, 1241, 2890, 2028]"
88,D:/50fotos\N30051000397361\N30051000397361_0001.tif,handbag,0.54,"[2733, 1481, 2890, 1692]"
89,D:/50fotos\N30051000397361\N30051000397361_0001.tif,person,0.54,"[1852, 1180, 2051, 1978]"
90,D:/50fotos\N30051000397361\N30051000397361_0001.tif,bench,0.52,"[56, 1776, 254, 2188]"
91,D:/50fotos\N30051000397361\N30051000397361_0001.tif,tie,0.47,"[1362, 1281, 1401, 1398]"
92,D:/50fotos\N30051000397361\N30051000397361_0001.tif,person,0.42,"[1308, 1173, 1467, 1919]"
93,D:/50fotos\N30051000397361\N30051000397361_0001.tif,person,0.39,"[2536, 1262, 2706, 1884]"
94,D:/50fotos\N30051000397361\N30051000397361_0001.tif,tie,0.36,"[1480, 1315, 1514, 1430]"
95,D:/50fotos\N30051000397361\N30051000397361_0001.tif,tie,0.36,"[1774, 1312, 1804, 1413]"
96,D:/50fotos\N30051000397361\N30051000397361_0001.tif,bicycle,0.34,"[654, 1476, 757, 1630]"
97,D:/50fotos\N30051000397361\N30051000397361_0001.tif,person,0.32,"[60, 1515, 117, 1781]"
98,D:/50fotos\N30051000397361\N30051000397361_0001.tif,person,0.31,"[1567, 1180, 1729, 1953]"
99,D:/50fotos\N30051000397361\N30051000397361_0001.tif,tie,0.25,"[1475, 1313, 1516, 1465]"
100,D:/50fotos\N30051000397361\N30051000397361_0001.tif,person,0.25,"[1661, 1153, 1761, 1315]"
101,D:/50fotos\N30051000397411\N30051000397411_0001.tif,horse,0.92,"[1750, 1562, 2204, 2113]"
102,D:/50fotos\N30051000397411\N30051000397411_0001.tif,person,0.87,"[46, 1424, 351, 2048]"
103,D:/50fotos\N30051000397411\N30051000397411_0001.tif,person,0.78,"[2112, 1329, 2274, 1656]"
104,D:/50fotos\N30051000397411\N30051000397411_0001.tif,person,0.68,"[1956, 1486, 2027, 1622]"
105,D:/50fotos\N30051000397411\N30051000397411_0001.tif,person,0.66,"[2022, 1492, 2117, 1614]"
106,D:/50fotos\N30051000397411\N30051000397411_0001.tif,person,0.64,"[1566, 1531, 1658, 1888]"
107,D:/50fotos\N30051000397411\N30051000397411_0001.tif,person,0.5,"[1610, 1514, 1700, 1660]"
108,D:/50fotos\N30051000397411\N30051000397411_0001.tif,person,0.46,"[1776, 1497, 1872, 1617]"
109,D:/50fotos\N30051000397411\N30051000397411_0001.tif,person,0.42,"[1697, 1519, 1786, 1840]"
110,D:/50fotos\N30051000397460\N30051000397460_0001.tif,person,0.72,"[1323, 1414, 1527, 2031]"
111,D:/50fotos\N30051000397460\N30051000397460_0001.tif,person,0.68,"[795, 1374, 954, 1848]"
112,D:/50fotos\N30051000397460\N30051000397460_0001.tif,person,0.67,"[571, 1367, 830, 1920]"
113,D:/50fotos\N30051000397460\N30051000397460_0001.tif,person,0.66,"[1941, 1403, 2114, 1941]"
114,D:/50fotos\N30051000397460\N30051000397460_0001.tif,person,0.62,"[258, 1410, 474, 2010]"
115,D:/50fotos\N30051000397460\N30051000397460_0001.tif,person,0.62,"[2242, 1477, 2396, 2060]"
116,D:/50fotos\N30051000397460\N30051000397460_0001.tif,person,0.56,"[2396, 1558, 2533, 2050]"
117,D:/50fotos\N30051000397460\N30051000397460_0001.tif,person,0.46,"[2488, 1537, 2641, 2006]"
118,D:/50fotos\N30051000397460\N30051000397460_0001.tif,person,0.45,"[1037, 1458, 1266, 2073]"
119,D:/50fotos\N30051000397460\N30051000397460_0001.tif,person,0.4,"[2370, 2095, 2600, 2303]"
120,D:/50fotos\N30051000397460\N30051000397460_0001.tif,person,0.39,"[65, 1459, 289, 2080]"
121,D:/50fotos\N30051000397460\N30051000397460_0001.tif,person,0.29,"[2585, 1927, 2888, 2306]"
122,D:/50fotos\N30051000397460\N30051000397460_0001.tif,person,0.29,"[962, 1299, 1079, 1775]"
123,D:/50fotos\N30051000397460\N30051000397460_0001.tif,person,0.29,"[464, 1492, 584, 1840]"
124,D:/50fotos\N30051000397460\N30051000397460_0001.tif,person,0.28,"[1234, 1389, 1382, 1911]"
125,D:/50fotos\N30051000397460\N30051000397460_0001.tif,person,0.28,"[1753, 1315, 1908, 1905]"
126,D:/50fotos\N30051000397502\N30051000397502_0001.tif,person,0.89,"[1199, 987, 1518, 1707]"
127,D:/50fotos\N30051000397502\N30051000397502_0001.tif,person,0.85,"[333, 1064, 498, 1584]"
128,D:/50fotos\N30051000397502\N30051000397502_0001.tif,person,0.83,"[129, 953, 316, 1494]"
129,D:/50fotos\N30051000397502\N30051000397502_0001.tif,person,0.81,"[2045, 1017, 2384, 1609]"
130,D:/50fotos\N30051000397502\N30051000397502_0001.tif,person,0.77,"[1152, 979, 1338, 1315]"
131,D:/50fotos\N30051000397502\N30051000397502_0001.tif,person,0.73,"[1598, 936, 1722, 1192]"
132,D:/50fotos\N30051000397502\N30051000397502_0001.tif,bicycle,0.71,"[1495, 1214, 2484, 1761]"
