,image,object,probability,coordinates,check
3303,N30051001504882,person,0.28,"[194, 1286, 248, 1392]",
3304,N30051000444239,bicycle,0.94,"[1531, 1170, 2866, 2057]",
3305,N30051000444239,bicycle,0.89,"[1178, 1047, 1983, 1922]",
3306,N30051000444239,person,0.87,"[2050, 587, 2526, 1962]",
3307,N30051000444239,bicycle,0.84,"[813, 1013, 1538, 1871]",
3308,N30051000444239,bicycle,0.71,"[80, 1012, 1028, 1752]",
3309,N30051000444239,person,0.62,"[925, 459, 1414, 1103]",
3310,N30051000444239,person,0.54,"[1595, 559, 2015, 1489]",
3311,N30051000444239,person,0.47,"[174, 691, 244, 870]",
3312,N30051000444239,person,0.45,"[514, 503, 1011, 1312]",
3313,N30051000444239,person,0.44,"[363, 750, 415, 880]",
3314,N30051000444239,bicycle,0.44,"[492, 1010, 1522, 1829]",
3315,N30051000444239,person,0.44,"[1974, 748, 2051, 975]",
3316,N30051000444239,person,0.42,"[240, 694, 315, 872]",
3317,N30051000444239,motorcycle,0.37,"[402, 793, 606, 985]",
3318,N30051000444239,person,0.34,"[1188, 490, 1755, 1738]",
3319,N30051000444239,person,0.32,"[1195, 489, 1754, 1168]",
3320,N30051000444239,person,0.32,"[1769, 454, 2044, 929]",
3321,N30051000444239,person,0.31,"[517, 721, 605, 924]",
3322,N30051000444239,person,0.31,"[507, 500, 1014, 1670]",
3323,N30051000444239,bicycle,0.29,"[472, 1015, 1084, 1778]",
3324,N30051001456646,dog,0.72,"[767, 1482, 1769, 2761]",
3325,N30051001456646,person,0.44,"[821, 1039, 1959, 2760]",
3326,N30051000484185,person,0.88,"[1777, 1252, 2208, 1844]",
3327,N30051000484185,person,0.87,"[1104, 1212, 1488, 1855]",
3328,N30051000484185,person,0.85,"[755, 1184, 1098, 1857]",
3329,N30051000484185,person,0.83,"[509, 1200, 872, 1873]",
3330,N30051000484185,person,0.82,"[82, 1165, 444, 1889]",
3331,N30051000484185,person,0.81,"[2245, 1060, 2583, 1744]",
3332,N30051000484185,person,0.72,"[1438, 1130, 1645, 1694]",
3333,N30051000484185,person,0.69,"[2452, 1038, 2724, 1719]",
3334,N30051000484185,person,0.6,"[867, 1097, 1040, 1368]",
3335,N30051000484185,person,0.5,"[1236, 1139, 1437, 1342]",
3336,N30051000484185,person,0.44,"[29, 1149, 149, 1864]",
3337,N30051000484185,person,0.39,"[639, 1094, 790, 1333]",
3338,N30051000484185,person,0.28,"[2837, 1211, 2928, 1535]",
3339,N30051000484185,person,0.25,"[1680, 1099, 1868, 1615]",
3340,N30051001458071,bicycle,0.81,"[1834, 1950, 2293, 2256]",
3341,N30051001458071,bicycle,0.75,"[321, 1963, 791, 2264]",
3342,N30051001458071,bicycle,0.66,"[1414, 1976, 1893, 2266]",
3343,N30051001458071,bicycle,0.64,"[2277, 1911, 2758, 2256]",
3344,N30051001458071,person,0.63,"[2409, 1738, 2546, 2101]",
3345,N30051001458071,person,0.62,"[1241, 1750, 1373, 2259]",
3346,N30051001458071,car,0.61,"[2350, 1704, 2814, 2082]",
3347,N30051001458071,bicycle,0.54,"[73, 2030, 203, 2236]",
3348,N30051001458071,person,0.52,"[1479, 1705, 1617, 2048]",
3349,N30051001458071,person,0.5,"[2131, 1747, 2273, 2082]",
3350,N30051001458071,bicycle,0.48,"[835, 1856, 1245, 2247]",
3351,N30051001458071,person,0.47,"[283, 1651, 419, 1958]",
3352,N30051001458071,person,0.44,"[737, 1717, 882, 2102]",
3353,N30051001458071,person,0.43,"[414, 1788, 569, 2046]",
3354,N30051001458071,person,0.43,"[2083, 516, 2273, 867]",
3355,N30051001458071,bicycle,0.4,"[845, 1857, 1120, 2074]",
3356,N30051001458071,person,0.39,"[591, 1736, 696, 1983]",
3357,N30051001458071,person,0.38,"[1969, 1712, 2114, 2209]",
3358,N30051001458071,person,0.37,"[648, 1811, 800, 2251]",
3359,N30051001458071,person,0.37,"[1231, 603, 1376, 878]",
3360,N30051001458071,person,0.37,"[2257, 1703, 2402, 2080]",
3361,N30051001458071,person,0.33,"[646, 1808, 782, 2090]",
3362,N30051001458071,person,0.32,"[1822, 1716, 1991, 2225]",
3363,N30051001458071,person,0.32,"[1372, 1747, 1509, 2135]",
3364,N30051001458071,person,0.32,"[1651, 1781, 1797, 2058]",
3365,N30051001458071,car,0.3,"[850, 1734, 1151, 2041]",
3366,N30051001458071,person,0.29,"[1099, 1750, 1230, 2095]",
3367,N30051001458071,person,0.28,"[1592, 1717, 1703, 2000]",
3368,N30051001458071,person,0.27,"[1901, 674, 1989, 871]",
3369,N30051001473260,boat,0.64,"[436, 1185, 2581, 1886]",
3370,N30051001473260,boat,0.33,"[2608, 1317, 2749, 1377]",
3371,N30051001473260,traffic light,0.31,"[2349, 687, 2415, 773]",
3372,N30051001473260,boat,0.26,"[2577, 1210, 2704, 1272]",
3373,N30051001441432,bus,0.93,"[70, 1425, 537, 2109]",
3374,N30051001441432,bus,0.85,"[490, 1323, 994, 1828]",
3375,N30051001441432,bus,0.78,"[1805, 987, 2001, 1181]",
3376,N30051001441432,car,0.62,"[2059, 1028, 2169, 1103]",
3377,N30051001441432,person,0.56,"[1366, 2101, 1472, 2495]",
3378,N30051001441432,bicycle,0.55,"[69, 2724, 241, 2895]",
3379,N30051001441432,car,0.48,"[2228, 1134, 2401, 1294]",
3380,N30051001441432,person,0.48,"[1974, 2404, 2169, 2746]",
3381,N30051001441432,person,0.47,"[615, 2514, 887, 2897]",
3382,N30051001441432,person,0.47,"[624, 1743, 715, 2026]",
3383,N30051001441432,person,0.46,"[962, 1673, 1056, 1936]",
3384,N30051001441432,bicycle,0.45,"[1704, 2133, 1834, 2300]",
3385,N30051001441432,person,0.44,"[1031, 2206, 1166, 2561]",
3386,N30051001441432,bus,0.42,"[1621, 1111, 1859, 1344]",
3387,N30051001441432,car,0.37,"[2021, 1388, 2216, 1526]",
3388,N30051001441432,person,0.36,"[707, 1751, 800, 2028]",
3389,N30051001441432,person,0.36,"[1929, 2227, 2091, 2646]",
3390,N30051001441432,bus,0.36,"[975, 1218, 1584, 1582]",
3391,N30051001441432,person,0.35,"[1827, 2030, 1935, 2341]",
3392,N30051001441432,person,0.35,"[1187, 2185, 1311, 2507]",
3393,N30051001441432,person,0.31,"[1826, 2346, 1942, 2769]",
3394,N30051001441432,person,0.3,"[1185, 2467, 1384, 2887]",
3395,N30051001441432,car,0.3,"[1165, 1922, 1641, 2351]",
3396,N30051001441432,person,0.29,"[1482, 2524, 1666, 2894]",
3397,N30051001441432,person,0.27,"[1892, 2593, 2103, 2897]",
3398,N30051001461208,person,0.93,"[381, 562, 898, 1871]",
3399,N30051001461208,tie,0.67,"[743, 812, 825, 1096]",
3400,N30051001461208,fire hydrant,0.26,"[787, 1399, 849, 1542]",
3401,N30051001471579,person,0.91,"[1628, 651, 2170, 1226]",
3402,N30051001471579,person,0.83,"[1263, 543, 1732, 1162]",
3403,N30051001471579,person,0.5,"[1371, 590, 1949, 1128]",
3404,N30051001471579,chair,0.37,"[837, 778, 1213, 1008]",
3405,N30051001471579,person,0.37,"[1147, 552, 1730, 1423]",
3406,N30051001471579,person,0.32,"[1579, 587, 1950, 1108]",
3407,N30051001506804,person,0.9,"[2562, 1770, 2815, 2275]",
3408,N30051001506804,truck,0.86,"[1676, 887, 2152, 1499]",
3409,N30051001506804,person,0.83,"[1559, 1391, 1733, 1563]",
3410,N30051001506804,bicycle,0.81,"[786, 1326, 952, 1551]",
3411,N30051001506804,person,0.77,"[2467, 1299, 2571, 1686]",
3412,N30051001506804,bicycle,0.77,"[1023, 1287, 1140, 1503]",
3413,N30051001506804,car,0.67,"[1038, 943, 1348, 1233]",
3414,N30051001506804,person,0.65,"[1021, 1159, 1140, 1423]",
3415,N30051001506804,bicycle,0.64,"[2347, 1647, 2830, 1898]",
3416,N30051001506804,person,0.63,"[846, 1123, 921, 1365]",
3417,N30051001506804,person,0.61,"[2211, 943, 2288, 1178]",
3418,N30051001506804,truck,0.59,"[1709, 725, 1897, 938]",
3419,N30051001506804,bus,0.46,"[1373, 668, 1688, 1258]",
3420,N30051001506804,person,0.44,"[762, 1051, 859, 1324]",
3421,N30051001506804,person,0.44,"[984, 945, 1044, 1140]",
3422,N30051001506804,truck,0.42,"[1371, 668, 1690, 1257]",
3423,N30051001506804,truck,0.39,"[1046, 1554, 2044, 2267]",
3424,N30051001506804,person,0.39,"[2538, 1255, 2644, 1682]",
3425,N30051001506804,person,0.33,"[1152, 847, 1208, 948]",
3426,N30051001506804,car,0.29,"[1416, 1554, 1898, 1737]",
3427,N30051001506804,person,0.28,"[844, 1123, 923, 1456]",
3428,N30051001448817,person,0.93,"[870, 823, 1603, 2756]",
3429,N30051001448817,person,0.82,"[381, 987, 662, 1460]",
3430,N30051001448817,person,0.73,"[1848, 831, 2182, 2113]",
3431,N30051001448817,person,0.59,"[1709, 882, 1951, 1859]",
3432,N30051001448817,handbag,0.57,"[2088, 1574, 2259, 1886]",
3433,N30051001448817,person,0.54,"[720, 1044, 1121, 2332]",
3434,N30051001448817,person,0.46,"[2067, 868, 2313, 2276]",
3435,N30051001448817,orange,0.29,"[669, 1684, 796, 1802]",
3436,N30051002832001,person,0.93,"[737, 356, 1473, 2802]",
3437,N30051002832001,person,0.85,"[1477, 332, 2044, 1492]",
3438,N30051002832001,person,0.81,"[1249, 414, 1526, 1204]",
3439,N30051002832001,person,0.8,"[2, 510, 202, 1046]",
3440,N30051002832001,person,0.63,"[1930, 369, 2206, 1303]",
3441,N30051002832001,bench,0.61,"[4, 1363, 809, 2807]",
3442,N30051002832001,person,0.59,"[235, 562, 709, 1079]",
3443,N30051002832001,person,0.55,"[2, 1022, 200, 1526]",
3444,N30051002832001,tie,0.48,"[10, 778, 120, 1018]",
3445,N30051002832001,person,0.3,"[233, 558, 765, 1405]",
3446,N30051001465282,person,0.91,"[910, 842, 1324, 2352]",
3447,N30051001465282,person,0.85,"[1346, 1000, 2211, 2390]",
3448,N30051001465282,person,0.84,"[1279, 1011, 1827, 2300]",
3449,N30051001465282,person,0.83,"[1394, 471, 1884, 1349]",
3450,N30051001465282,person,0.81,"[1863, 472, 2337, 1490]",
3451,N30051001465282,person,0.72,"[705, 547, 1069, 2181]",
3452,N30051001465282,person,0.69,"[471, 822, 720, 1142]",
3453,N30051001465282,person,0.67,"[1132, 472, 1439, 1401]",
3454,N30051001465282,person,0.65,"[57, 1137, 568, 2388]",
3455,N30051001465282,chair,0.64,"[1636, 1578, 2283, 2396]",
3456,N30051001465282,cup,0.58,"[2372, 1316, 2454, 1410]",
3457,N30051001465282,chair,0.56,"[1633, 1289, 2603, 2393]",
3458,N30051001465282,tie,0.52,"[1963, 768, 2010, 906]",
3459,N30051001465282,tie,0.48,"[1609, 728, 1659, 771]",
3460,N30051001465282,person,0.47,"[248, 687, 506, 1179]",
3461,N30051001465282,person,0.39,"[65, 1024, 672, 2152]",
3462,N30051001465282,person,0.38,"[1312, 555, 1494, 809]",
3463,N30051001465282,bottle,0.38,"[2823, 987, 2901, 1226]",
3464,N30051001465282,bottle,0.3,"[2479, 525, 2515, 609]",
3465,N30051001465282,person,0.3,"[941, 585, 1167, 1100]",
3466,N30051001465282,bottle,0.29,"[2517, 510, 2562, 607]",
3467,N30051000398492,person,0.79,"[922, 1124, 1165, 1605]",
3468,N30051000398492,person,0.76,"[2027, 914, 2207, 1554]",
3469,N30051000398492,person,0.76,"[766, 443, 892, 795]",
3470,N30051000398492,person,0.74,"[1340, 1062, 1474, 1614]",
3471,N30051000398492,person,0.73,"[487, 429, 667, 769]",
3472,N30051000398492,person,0.67,"[372, 1805, 529, 2005]",
3473,N30051000398492,person,0.67,"[691, 1773, 839, 1944]",
3474,N30051000398492,person,0.66,"[664, 422, 795, 764]",
3475,N30051000398492,sink,0.58,"[1440, 1243, 1718, 1469]",
3476,N30051000398492,person,0.54,"[1196, 549, 1353, 811]",
3477,N30051000398492,person,0.54,"[1042, 538, 1183, 821]",
3478,N30051000398492,person,0.46,"[161, 446, 335, 886]",
3479,N30051000398492,backpack,0.34,"[813, 1492, 1162, 1917]",
3480,N30051000483773,chair,0.71,"[2474, 1944, 2696, 2155]",
3481,N30051000483773,person,0.7,"[2237, 1435, 2367, 1755]",
3482,N30051000483773,chair,0.64,"[2220, 1945, 2437, 2157]",
3483,N30051000483773,person,0.61,"[543, 1409, 732, 1630]",
3484,N30051000483773,person,0.56,"[2722, 1566, 2893, 1769]",
3485,N30051000483773,person,0.48,"[2447, 1639, 2698, 2143]",
3486,N30051000483773,person,0.46,"[1953, 1754, 2244, 2151]",
3487,N30051000483773,person,0.46,"[2216, 1699, 2476, 2149]",
3488,N30051000483773,person,0.42,"[2475, 1378, 2587, 1580]",
3489,N30051000483773,chair,0.42,"[1969, 1981, 2200, 2158]",
3490,N30051000483773,person,0.41,"[919, 1438, 1039, 1593]",
3491,N30051000483773,chair,0.4,"[1500, 1732, 1737, 2171]",
3492,N30051000483773,person,0.39,"[2312, 1280, 2477, 1699]",
3493,N30051000483773,person,0.34,"[1956, 1286, 2069, 1573]",
3494,N30051000483773,person,0.34,"[1460, 1089, 1535, 1275]",
3495,N30051000483773,person,0.26,"[1038, 1456, 1145, 1593]",
3496,N30051000483773,person,0.26,"[1497, 1641, 1746, 2157]",
3497,N30051000530102,person,0.3,"[1990, 1108, 2036, 1225]",
3498,N30051000530102,book,0.3,"[504, 1255, 666, 1613]",
3499,N30051001506788,person,0.95,"[913, 839, 2155, 2882]",
3500,N30051001506788,spoon,0.7,"[873, 1596, 1081, 1891]",
3501,N30051001506788,bowl,0.45,"[722, 1835, 1111, 2086]",
3502,N30051002137856,person,0.92,"[227, 646, 904, 2049]",
3503,N30051002137856,person,0.91,"[1857, 858, 2639, 2098]",
3504,N30051002137856,person,0.89,"[2354, 768, 2901, 2289]",
3505,N30051002137856,dinning table,0.88,"[981, 1320, 1804, 2197]",
3506,N30051002137856,person,0.84,"[1709, 839, 2273, 1917]",
3507,N30051002137856,person,0.81,"[1402, 857, 1869, 1373]",
3508,N30051002137856,person,0.8,"[1212, 886, 1503, 1334]",
3509,N30051002137856,person,0.75,"[191, 938, 346, 1403]",
3510,N30051002137856,tie,0.65,"[1924, 1052, 2082, 1270]",
3511,N30051002137856,person,0.62,"[1864, 962, 1979, 1166]",
3512,N30051002137856,person,0.62,"[963, 1030, 1103, 1175]",
3513,N30051002137856,laptop,0.57,"[2270, 1409, 2642, 1581]",
3514,N30051002137856,tie,0.53,"[2295, 1117, 2392, 1357]",
3515,N30051002137856,person,0.52,"[953, 940, 1060, 1105]",
3516,N30051002137856,person,0.45,"[2624, 884, 2784, 1091]",
3517,N30051002137856,handbag,0.42,"[641, 1109, 726, 1299]",
3518,N30051002137856,dinning table,0.41,"[865, 1189, 1312, 1632]",
3519,N30051002137856,person,0.35,"[730, 1065, 961, 1525]",
3520,N30051002137856,book,0.34,"[2269, 1411, 2639, 1581]",
3521,N30051002137856,potted plant,0.34,"[30, 1892, 379, 2315]",
3522,N30051002137856,person,0.33,"[2184, 896, 2315, 1110]",
3523,N30051002137856,person,0.31,"[2476, 932, 2672, 1197]",
3524,N30051002137856,person,0.26,"[1493, 880, 1629, 1036]",
3525,N30051002137856,dinning table,0.26,"[2603, 1764, 2917, 2287]",
3526,N30051002137856,person,0.25,"[1086, 1042, 1171, 1168]",
3527,N30051000704301,person,0.93,"[1000, 301, 2480, 2308]",
3528,N30051000704301,bottle,0.76,"[2640, 1715, 2736, 1936]",
3529,N30051000704301,book,0.72,"[1080, 506, 1524, 1086]",
3530,N30051000704301,bowl,0.53,"[450, 1896, 597, 2006]",
3531,N30051001470019,person,0.93,"[13, 160, 3298, 2721]",
3532,N30051001469961,person,0.9,"[2456, 1093, 2880, 2193]",
3533,N30051001469961,person,0.87,"[1651, 1087, 1917, 1964]",
3534,N30051001469961,person,0.85,"[599, 886, 801, 1577]",
3535,N30051001469961,person,0.85,"[1868, 1110, 2109, 1901]",
3536,N30051001469961,person,0.85,"[243, 796, 510, 1428]",
3537,N30051001469961,person,0.82,"[1471, 1064, 1666, 1897]",
3538,N30051001469961,person,0.79,"[2114, 1057, 2352, 1829]",
3539,N30051001469961,bicycle,0.79,"[1091, 1374, 1375, 1833]",
3540,N30051001469961,person,0.68,"[1220, 1110, 1547, 1811]",
3541,N30051001469961,person,0.52,"[743, 876, 831, 1500]",
3542,N30051001469961,person,0.5,"[2327, 1123, 2493, 1748]",
3543,N30051000705159,person,0.86,"[2129, 617, 2703, 2155]",
3544,N30051000705159,person,0.83,"[430, 838, 922, 1795]",
3545,N30051000705159,person,0.72,"[1142, 842, 1476, 1576]",
3546,N30051000705159,person,0.69,"[871, 836, 1188, 1714]",
3547,N30051000705159,person,0.68,"[164, 875, 482, 1898]",
3548,N30051000705159,person,0.63,"[1459, 1043, 1729, 1633]",
3549,N30051000705159,person,0.61,"[31, 1114, 242, 2128]",
3550,N30051000705159,person,0.59,"[2431, 605, 2910, 2092]",
3551,N30051000705159,person,0.56,"[32, 782, 245, 1277]",
3552,N30051000705159,person,0.49,"[443, 751, 640, 1075]",
3553,N30051000705159,person,0.49,"[747, 745, 954, 1074]",
3554,N30051000705159,person,0.49,"[1556, 624, 1849, 1126]",
3555,N30051000705159,person,0.45,"[1982, 682, 2225, 1073]",
3556,N30051000705159,person,0.44,"[1101, 699, 1272, 1087]",
3557,N30051000705159,person,0.38,"[2577, 581, 2878, 1268]",
3558,N30051000705159,person,0.35,"[1682, 844, 2227, 1566]",
3559,N30051000705159,person,0.34,"[151, 768, 315, 1099]",
3560,N30051000705159,person,0.33,"[1370, 741, 1672, 1089]",
3561,N30051000705159,tie,0.28,"[2701, 1012, 2865, 1276]",
3562,N30051000705159,person,0.27,"[1690, 797, 1988, 1217]",
3563,N30051000705159,person,0.26,"[1276, 680, 1420, 918]",
3564,N30051001509964,person,0.93,"[69, 814, 931, 2560]",
3565,N30051001509964,person,0.87,"[1186, 950, 2047, 2561]",
3566,N30051001509964,person,0.85,"[69, 867, 284, 1259]",
3567,N30051001509964,person,0.85,"[1113, 1041, 1404, 1539]",
3568,N30051001509964,person,0.78,"[758, 1073, 1305, 2392]",
3569,N30051001509964,tie,0.78,"[548, 1276, 645, 1647]",
3570,N30051001509964,person,0.69,"[866, 1959, 1351, 2576]",
3571,N30051001509964,tie,0.62,"[1237, 1412, 1309, 1493]",
3572,N30051001509964,person,0.38,"[1932, 1153, 2323, 2557]",
3573,N30051001509964,tie,0.28,"[942, 1520, 1126, 1798]",
3574,N30051001714895,person,0.76,"[1439, 1385, 1519, 1684]",
3575,N30051001714895,dog,0.76,"[1291, 1675, 1416, 1778]",
3576,N30051001714895,bird,0.28,"[548, 1665, 591, 1712]",
3577,N30051001449005,person,0.9,"[2073, 723, 3292, 2719]",
3578,N30051001449005,person,0.89,"[1092, 566, 1950, 2550]",
3579,N30051001449005,person,0.86,"[327, 336, 998, 2716]",
3580,N30051001449005,person,0.86,"[1859, 633, 2672, 2592]",
3581,N30051001449005,person,0.82,"[1703, 378, 2267, 2346]",
3582,N30051001449005,person,0.8,"[751, 511, 1306, 2439]",
3583,N30051001449005,person,0.62,"[993, 373, 1340, 992]",
3584,N30051001449005,chair,0.59,"[2972, 1521, 3505, 2467]",
3585,N30051001449005,tie,0.46,"[1226, 927, 1521, 1259]",
3586,N30051001449005,dinning table,0.44,"[64, 1504, 423, 2001]",
3587,N30051001449005,tie,0.42,"[1442, 927, 1832, 1042]",
3588,N30051001449005,person,0.41,"[1560, 333, 1929, 1446]",
3589,N30051001449005,bowl,0.36,"[233, 1465, 344, 1527]",
3590,N30051001449005,tie,0.33,"[1964, 705, 2009, 782]",
3591,N30051001450151,person,0.63,"[2194, 1881, 2416, 2148]",
3592,N30051001450151,person,0.53,"[1977, 1905, 2203, 2159]",
3593,N30051001450151,person,0.46,"[2443, 1591, 2610, 1847]",
3594,N30051001450151,person,0.45,"[1583, 1587, 1786, 1819]",
3595,N30051001450151,person,0.42,"[2080, 1577, 2237, 1785]",
3596,N30051001450151,person,0.41,"[612, 1474, 775, 1723]",
3597,N30051001450151,sports ball,0.37,"[2128, 1459, 2210, 1536]",
3598,N30051001450151,person,0.34,"[418, 1714, 631, 1937]",
3599,N30051001450151,person,0.34,"[1110, 727, 1230, 1084]",
3600,N30051001450151,person,0.31,"[1765, 1737, 1966, 1944]",
3601,N30051001450151,person,0.3,"[2358, 1441, 2548, 1700]",
3602,N30051001450151,person,0.3,"[2479, 1729, 2693, 1951]",
3603,N30051001450151,person,0.29,"[443, 1448, 603, 1697]",
3604,N30051001450151,person,0.27,"[417, 1713, 635, 2061]",
3605,N30051001450151,person,0.26,"[2318, 1712, 2491, 1959]",
3606,N30051001470043,person,0.88,"[1260, 1891, 1638, 2620]",
3607,N30051001470043,person,0.87,"[2976, 1711, 3374, 2431]",
3608,N30051001470043,bicycle,0.85,"[631, 1887, 1198, 2288]",
3609,N30051001470043,bicycle,0.85,"[1435, 2104, 1685, 2685]",
3610,N30051001470043,person,0.85,"[2236, 1678, 2499, 2332]",
3611,N30051001470043,person,0.82,"[1535, 1516, 1756, 2080]",
3612,N30051001470043,person,0.81,"[3323, 1712, 3538, 2451]",
3613,N30051001470043,person,0.81,"[2494, 1676, 2727, 2305]",
3614,N30051001470043,person,0.74,"[748, 1591, 1004, 2297]",
3615,N30051001470043,bicycle,0.71,"[2690, 1815, 2949, 2155]",
3616,N30051001470043,person,0.7,"[1976, 1608, 2219, 2256]",
3617,N30051001470043,person,0.61,"[2855, 1489, 3072, 2053]",
3618,N30051001470043,person,0.6,"[75, 1421, 271, 1939]",
3619,N30051001470043,bicycle,0.58,"[3003, 1696, 3189, 2007]",
3620,N30051001470043,person,0.57,"[2674, 1576, 2894, 2041]",
3621,N30051001470043,person,0.55,"[978, 1545, 1109, 1993]",
3622,N30051001470043,person,0.55,"[498, 1470, 668, 1995]",
3623,N30051001470043,bicycle,0.53,"[1208, 1817, 1557, 2053]",
3624,N30051001470043,person,0.47,"[303, 1354, 440, 1842]",
3625,N30051001470043,person,0.46,"[3239, 1466, 3410, 1806]",
3626,N30051001470043,person,0.45,"[1124, 1384, 1290, 1790]",
3627,N30051001470043,bicycle,0.44,"[2006, 1970, 2214, 2324]",
3628,N30051001470043,person,0.41,"[2149, 1583, 2308, 2110]",
3629,N30051001470043,person,0.37,"[1422, 1382, 1577, 1853]",
3630,N30051001470043,person,0.36,"[660, 1507, 817, 1973]",
3631,N30051001470043,bicycle,0.36,"[430, 1692, 677, 1915]",
3632,N30051001470043,person,0.35,"[1961, 1439, 2130, 1740]",
3633,N30051001470043,person,0.34,"[2820, 1311, 2944, 1656]",
3634,N30051001470043,backpack,0.32,"[3191, 1813, 3365, 2048]",
3635,N30051001470043,person,0.32,"[1905, 1276, 2033, 1592]",
3636,N30051001470043,bicycle,0.31,"[2104, 1969, 2217, 2212]",
3637,N30051001470043,person,0.31,"[3090, 1450, 3242, 1857]",
3638,N30051001470043,person,0.27,"[857, 1292, 985, 1681]",
3639,N30051001470043,bicycle,0.26,"[428, 1695, 545, 1911]",
3640,N30051001448890,person,0.93,"[314, 636, 730, 1771]",
3641,N30051001448890,person,0.85,"[71, 530, 342, 1877]",
3642,N30051001448890,person,0.82,"[727, 413, 1392, 2096]",
3643,N30051001448890,person,0.8,"[1268, 453, 1748, 1973]",
3644,N30051001448890,tie,0.79,"[527, 813, 577, 933]",
3645,N30051001448890,person,0.77,"[1881, 472, 2330, 1766]",
3646,N30051001448890,person,0.72,"[616, 542, 894, 1732]",
3647,N30051001448890,person,0.65,"[1629, 456, 2116, 1868]",
3648,N30051001448890,person,0.44,"[1165, 587, 1291, 757]",
3649,N30051001448890,book,0.39,"[1357, 757, 1565, 940]",
3650,N30051001448890,chair,0.32,"[273, 1225, 387, 1608]",
3651,N30051001448890,person,0.32,"[395, 707, 476, 830]",
3652,N30051001448890,person,0.27,"[1669, 448, 2004, 1874]",
3653,N30051001448890,person,0.25,"[231, 708, 356, 913]",
3654,N30051000483450,person,0.82,"[923, 638, 1432, 1714]",
3655,N30051000483450,person,0.71,"[97, 393, 1337, 1944]",
3656,N30051000483450,person,0.58,"[1297, 237, 2665, 2304]",
3657,N30051000483450,person,0.58,"[2344, 108, 2927, 2304]",
3658,N30051000483450,person,0.58,"[1297, 599, 1934, 1692]",
3659,N30051000483450,person,0.38,"[746, 570, 1319, 1538]",
3660,N30051000483450,person,0.29,"[2346, 106, 2931, 1136]",
3661,N30051001357968,car,0.84,"[2066, 1747, 2195, 1863]",
3662,N30051001357968,boat,0.83,"[71, 1716, 1419, 2080]",
3663,N30051001357968,boat,0.64,"[1385, 1718, 1737, 2009]",
3664,N30051001357968,car,0.59,"[1717, 1783, 1806, 1862]",
3665,N30051001357968,boat,0.55,"[2454, 1808, 2915, 2159]",
3666,N30051001357968,boat,0.49,"[2160, 2156, 2532, 2305]",
3667,N30051001357968,boat,0.49,"[2056, 2003, 2296, 2109]",
3668,N30051001357968,boat,0.29,"[1384, 1593, 1736, 2011]",
3669,N30051001441804,person,0.83,"[683, 1214, 966, 1824]",
3670,N30051001441804,clock,0.68,"[592, 250, 684, 348]",
3671,N30051001441804,person,0.62,"[1108, 1214, 1323, 1733]",
3672,N30051001441804,person,0.61,"[536, 1236, 660, 1679]",
3673,N30051001441804,person,0.6,"[628, 1214, 759, 1671]",
3674,N30051001441804,person,0.6,"[1236, 1167, 1496, 1742]",
3675,N30051001441804,person,0.59,"[121, 1218, 307, 1759]",
3676,N30051001441804,person,0.5,"[404, 1220, 536, 1675]",
3677,N30051001441804,person,0.48,"[973, 1158, 1195, 1706]",
3678,N30051001441804,person,0.47,"[1438, 1238, 1670, 1768]",
3679,N30051001441804,person,0.47,"[1954, 1210, 2136, 1698]",
3680,N30051001441804,person,0.46,"[1713, 1199, 1905, 1726]",
3681,N30051001441804,umbrella,0.41,"[1065, 1085, 1176, 1129]",
3682,N30051001441804,person,0.35,"[869, 1179, 990, 1585]",
3683,N30051001441804,person,0.34,"[966, 1192, 1068, 1570]",
3684,N30051001441804,person,0.26,"[333, 1312, 438, 1690]",
3685,N30051001441093,car,0.9,"[335, 2045, 757, 2231]",
3686,N30051001441093,car,0.9,"[791, 2017, 1246, 2209]",
3687,N30051001441093,car,0.85,"[1405, 1996, 1909, 2180]",
3688,N30051001441093,car,0.45,"[60, 2117, 123, 2237]",
3689,N30051001441093,car,0.36,"[693, 2048, 825, 2145]",
3690,N30051001441093,car,0.26,"[1310, 2021, 1540, 2121]",
3691,N30051001483178,person,0.89,"[807, 898, 1322, 1980]",
3692,N30051001483178,person,0.81,"[585, 832, 926, 1258]",
3693,N30051001483178,potted plant,0.78,"[2037, 1409, 2293, 1724]",
3694,N30051001483178,person,0.76,"[1711, 781, 2194, 1429]",
3695,N30051001483178,person,0.62,"[1357, 641, 1576, 1132]",
3696,N30051001483178,person,0.62,"[412, 1089, 757, 1827]",
3697,N30051001483178,clock,0.59,"[855, 158, 947, 262]",
3698,N30051001483178,person,0.54,"[1147, 672, 1354, 966]",
3699,N30051001483178,person,0.53,"[367, 1270, 1007, 2131]",
3700,N30051001483178,potted plant,0.4,"[1646, 1151, 1910, 1438]",
3701,N30051001483178,vase,0.34,"[1674, 1403, 1943, 1826]",
3702,N30051001483178,vase,0.31,"[2105, 1545, 2241, 1723]",
3703,N30051001483178,potted plant,0.31,"[1650, 1135, 1944, 1826]",
3704,N30051001483178,sink,0.28,"[73, 1955, 407, 2249]",
3705,N30051001448007,boat,0.45,"[1348, 1018, 2907, 2367]",
3706,N30051001457800,car,0.89,"[250, 1627, 580, 1795]",
3707,N30051001457800,bicycle,0.89,"[1827, 1841, 2072, 1979]",
3708,N30051001457800,person,0.78,"[1898, 1735, 2007, 1965]",
